26057762;41.18099;-8.594048;-0.1499944;0.7187439
26057764;41.18093;-8.594225;-0.1499975;0.7187428
26057767;41.1807;-8.594481;-0.150002;0.7187388
26057769;41.1804;-8.5945;-0.1500023;0.7187336
26057772;41.18013;-8.59421;-0.1499972;0.7187288
26057774;41.18007;-8.593808;-0.1499902;0.7187277
26057776;41.18019;-8.593475;-0.1499844;0.7187299
26057801;41.18209;-8.593662;-0.1499877;0.7187632
26057803;41.1818;-8.59372;-0.1499887;0.718758
26057804;41.18167;-8.593835;-0.1499907;0.7187558
26057805;41.18152;-8.594352;-0.1499997;0.7187532
26057813;41.18152;-8.594508;-0.1500025;0.7187532
26057846;41.18001;-8.590476;-0.1499321;0.7187268
26057847;41.18047;-8.591652;-0.1499526;0.7187349
26057848;41.18056;-8.591769;-0.1499547;0.7187363
26057849;41.18085;-8.592094;-0.1499603;0.7187414
26057850;41.18124;-8.592369;-0.1499651;0.7187482
26057852;41.18219;-8.592838;-0.1499733;0.7187649
26057853;41.18035;-8.59204;-0.1499594;0.7187327
26057854;41.18017;-8.591809;-0.1499554;0.7187295
26057855;41.17968;-8.591738;-0.1499541;0.7187209
26057856;41.17944;-8.592082;-0.1499601;0.7187167
26057857;41.17948;-8.592642;-0.1499699;0.7187175
26057858;41.17976;-8.592906;-0.1499745;0.7187223
26122715;41.1753;-8.593762;-0.1499895;0.7186445
26122716;41.17518;-8.594015;-0.1499939;0.7186425
26122717;41.17591;-8.593556;-0.1499858;0.7186552
26122718;41.17681;-8.593349;-0.1499822;0.7186709
26122719;41.1771;-8.593305;-0.1499815;0.718676
26122720;41.17999;-8.593001;-0.1499762;0.7187263
26122721;41.18055;-8.592943;-0.1499752;0.7187362
26122722;41.18153;-8.592938;-0.1499751;0.7187533
26122723;41.18218;-8.593025;-0.1499766;0.7187647
26122724;41.18289;-8.593184;-0.1499794;0.718777
26122725;41.18492;-8.59386;-0.1499911;0.7188125
26122727;41.18764;-8.594707;-0.1500059;0.71886
26122728;41.18824;-8.594745;-0.1500066;0.7188705
26122729;41.189;-8.594624;-0.1500045;0.7188836
26122730;41.1896;-8.594379;-0.1500002;0.7188941
26122731;41.19006;-8.594096;-0.1499953;0.7189021
26122732;41.19129;-8.592913;-0.1499746;0.7189236
26122734;41.19173;-8.592519;-0.1499677;0.7189313
26122781;41.18406;-8.593787;-0.1499899;0.7187974
26122782;41.1828;-8.593388;-0.1499829;0.7187755
26122783;41.18219;-8.593245;-0.1499804;0.7187647
26122784;41.18077;-8.593171;-0.1499791;0.71874
26122785;41.1803;-8.593175;-0.1499792;0.7187319
26122786;41.17962;-8.593248;-0.1499805;0.71872
26122787;41.17712;-8.593508;-0.149985;0.7186763
26122788;41.17683;-8.593552;-0.1499858;0.7186712
